ticker,date,close
BND,20260211,74.40
BND,20260210,74.47
BND,20260209,74.25
BND,20260206,74.23
BND,20260205,74.22
BND,20260204,73.90
BND,20260203,73.93
BND,20260202,73.91
BND,20260130,73.98
BND,20260129,74.01
BND,20260128,74.00
BND,20260127,74.03
BND,20260126,74.09
BND,20260123,74.00
BND,20260122,73.92
BND,20260121,73.89
BND,20260120,73.69
BND,20260116,73.95
BND,20260115,74.07
BND,20260114,74.18
BND,20260113,74.03
BND,20260112,73.97
BND,20260109,74.04
BND,20260108,73.88
BND,20260107,74.01
BND,20260106,73.93
BND,20260105,73.93
BND,20260102,73.80
BND,20251231,73.83
BND,20251230,74.02
BND,20251229,74.05
BND,20251226,73.94
BND,20251224,73.94
BND,20251223,73.77
BND,20251222,73.78
BND,20251219,73.80
BND,20251218,73.90
BND,20251217,73.75
BND,20251216,73.77
BND,20251215,73.63
BND,20251212,73.54
BND,20251211,73.77
BND,20251210,73.77
BND,20251209,73.55
BND,20251208,73.60
BND,20251205,73.71
BND,20251204,73.80
BND,20251203,73.94
BND,20251202,73.83
BND,20251201,73.76
BND,20251128,74.05
BND,20251126,74.17
BND,20251125,74.09
BND,20251124,73.92
BND,20251121,73.79
BND,20251120,73.61
BND,20251119,73.50
BND,20251118,73.53
BND,20251117,73.47
BND,20251114,73.43
BND,20251113,73.54
BND,20251112,73.76
BND,20251111,73.79
BND,20251110,73.58
BND,20251107,73.60
BND,20251106,73.64
BND,20251105,73.35
BND,20251104,73.56
BND,20251103,73.52
BND,20251031,73.85
BND,20251030,73.87
BND,20251029,74.00
BND,20251028,74.36
BND,20251027,74.33
BND,20251024,74.29
BND,20251023,74.19
BND,20251022,74.34
BND,20251021,74.34
BND,20251020,74.25
BND,20251017,74.15
BND,20251016,74.25
BND,20251015,73.97
BND,20251014,74.02
BND,20251013,73.91
BND,20251010,73.79
BND,20251009,73.50
BND,20251008,73.55
BND,20251007,73.55
BND,20251006,73.41
BND,20251003,73.58
BND,20251002,73.67
BND,20251001,73.59
BND,20250930,73.41
BND,20250929,73.44
BND,20250926,73.25
BND,20250925,73.25
BND,20250924,73.33
BND,20250923,73.48
BND,20250922,73.33
BND,20250919,73.47
BND,20250918,73.44
BND,20250917,73.62
BND,20250916,73.75
BND,20250915,73.74
BND,20250912,73.60
BND,20250911,73.69
BND,20250910,73.54
BND,20250909,73.41
BND,20250908,73.55
BND,20250905,73.31
BND,20250904,72.96
BND,20250903,72.69
BND,20250902,72.45
BND,20250829,72.60
BND,20250828,72.69
BND,20250827,72.60
BND,20250826,72.54
BND,20250825,72.45
BND,20250822,72.55
BND,20250821,72.18
BND,20250820,72.36
BND,20250819,72.31
BND,20250818,72.17
BND,20250815,72.25
BND,20250814,72.35
BND,20250813,72.56
BND,20250812,72.29
BND,20250811,72.28
BND,20250808,72.23
BND,20250807,72.39
BND,20250806,72.42
BND,20250805,72.48
BND,20250804,72.45
BND,20250801,72.40
BND,20250731,71.78
